Название,Артикул,Категория,Цена без карты,Цена с картой
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Ранчо бронза,19258301,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",975.00 ₽,926.25 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Вестерн Клондайк,22273401,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",2 349.00 ₽,2 231.55 ₽
Гибкая черепица DOCKE Gold Гранада Какао,10375001,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 980.66 ₽,1 881.63 ₽
Гибкая черепица DOCKE Pie Gold Генуя Канноли,10374501,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 977.86 ₽,1 878.97 ₽
Гибкая черепица DOCKE Gold Гранада Кофе,10375101,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 982.06 ₽,1 882.96 ₽
Гибкая черепица DOCKE Gold Гранада Кунжут,10375201,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 983.46 ₽,1 884.29 ₽
Гибкая черепица DOCKE Gold Кёльн Мята,10375501,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 921.72 ₽,1 825.63 ₽
Гибкая черепица DOCKE Gold Кёльн Имбирь,10375301,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 918.92 ₽,1 822.97 ₽
Гибкая черепица DOCKE Pie Gold Генуя Амаретто,10374401,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 976.46 ₽,1 877.64 ₽
Гибкая черепица DOCKE Gold Цюрих Арахис,10376601,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",2 397.77 ₽,2 277.88 ₽
Гибкая черепица DOCKE Gold Цюрих Изюм,10376701,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",2 399.17 ₽,2 279.21 ₽
Гибкая черепица DOCKE Gold Кёльн Чернослив,10375601,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 923.12 ₽,1 826.96 ₽
Гибкая черепица DOCKE Gold Цюрих Кофе,10376801,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",2 400.57 ₽,2 280.54 ₽
